Product ID,Category,Price,Ratings,Product Icon
1,Books and Media,33.6309139427473,2.8,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Terra/Beauty%20and%20Personal%20Care%20Products/7451869.png
2,Apparel and Fashion Accessories,225.31439503688972,4.1,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Terra/Health%20and%20Wellness%20Products/low/10684454.png
3,Pet Supplies,249.3993062397561,3.9,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Terra/Sporting%20Goods%20and%20Fitness%20Equipment/mid/5022339.png
4,Consumer Electronics Accessories,148.94122251244278,4.4,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Terra/Apparel%20and%20Fashion%20Accessories/1965185.png
5,Sporting Goods and Fitness Equipment,45.270328527139085,1.6,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Terra/Home%20and%20Kitchen%20Appliances/high/10726685.png
6,Home and Kitchen Appliances,1574.2066326636652,1.8,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Terra/Health%20and%20Wellness%20Products/low/4478923.png
7,Apparel and Fashion Accessories,312.4114549450868,3.8,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Terra/Home%20and%20Kitchen%20Appliances/high/10726822.png
8,Books and Media,53.39591199495472,3.5,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Terra/Home%20and%20Kitchen%20Appliances/high/10726698.png
9,Home and Kitchen Appliances,941.6000214100753,1.9,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Terra/Home%20and%20Kitchen%20Appliances/mid/3565386.png
10,Health and Wellness Products,66.26933030013853,2.7,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Terra/Beauty%20and%20Personal%20Care%20Products/1689868.png
11,Home and Kitchen Appliances,498.2310120629808,1.9,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Terra/Beauty%20and%20Personal%20Care%20Products/3132783.png
12,Home and Kitchen Appliances,1782.1421247790888,3.3,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Terra/Beauty%20and%20Personal%20Care%20Products/1689873.png
13,Pet Supplies,135.8122871910085,1.2,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Terra/Home%20and%20Kitchen%20Appliances/high/10726776.png
14,Toys and Games,140.766427324973,2.9,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Terra/Beauty%20and%20Personal%20Care%20Products/1689868.png
15,Pet Supplies,193.89646917038237,4.6,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Terra/Apparel%20and%20Fashion%20Accessories/4446246.png
16,Electronics,2843.111257604179,1.3,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Terra/Apparel%20and%20Fashion%20Accessories/2290514.png
17,Consumer Electronics Accessories,133.44721215934825,3.1,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Terra/Home%20and%20Kitchen%20Appliances/mid/2554134.png
18,Apparel and Fashion Accessories,287.5219043434516,2.6,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Terra/Sporting%20Goods%20and%20Fitness%20Equipment/mid/5022272.png
19,Beauty and Personal Care Products,54.00592245624434,3.7,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Terra/Home%20and%20Kitchen%20Appliances/high/10726725.png
20,Sporting Goods and Fitness Equipment,1006.3295507856856,2.6,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Terra/Home%20and%20Kitchen%20Appliances/low/2666943.png
21,Sporting Goods and Fitness Equipment,597.0859642280819,4.6,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Terra/Home%20and%20Kitchen%20Appliances/high/10726737.png
22,Home and Kitchen Appliances,1930.0241743614622,1.9,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Terra/Home%20and%20Kitchen%20Appliances/high/4551313.png
23,Health and Wellness Products,437.6211681988947,1.8,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Terra/Home%20and%20Kitchen%20Appliances/mid/4607357.png
24,Sporting Goods and Fitness Equipment,1441.7415608230767,1.6,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Terra/Toys%20and%20Games/mid/5805629.png
25,Consumer Electronics Accessories,47.28025543048232,4.3,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Terra/Apparel%20and%20Fashion%20Accessories/4792197.png
26,Consumer Electronics Accessories,189.0171219927238,4.3,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Terra/Beauty%20and%20Personal%20Care%20Products/926556.png
27,Electronics,2894.5518968727633,3.2,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Terra/Apparel%20and%20Fashion%20Accessories/5018879.png
28,Health and Wellness Products,319.61428489061973,5.0,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Terra/Pet%20Supplies/mid/3048214.png
29,Health and Wellness Products,139.74516284975536,2.8,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Terra/Beauty%20and%20Personal%20Care%20Products/3132817.png
30,Health and Wellness Products,281.1465574882025,4.6,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Terra/Health%20and%20Wellness%20Products/high/1689566.png
31,Electronics,4571.980134534668,1.6,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Terra/Apparel%20and%20Fashion%20Accessories/1113279.png
32,Pet Supplies,139.13726761329002,5.0,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Terra/Books%20and%20Media/5805482.png
33,Sporting Goods and Fitness Equipment,1062.5288778374634,4.1,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Terra/Pet%20Supplies/mid/4889274.png
34,Apparel and Fashion Accessories,202.75163756993445,4.9,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Terra/Home%20and%20Kitchen%20Appliances/mid/4606990.png
35,Sporting Goods and Fitness Equipment,1705.9829827817368,5.0,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Terra/Pet%20Supplies/mid/4889282.png
36,Sporting Goods and Fitness Equipment,585.2212814342063,5.0,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Terra/Toys%20and%20Games/low/5805678.png
37,Sporting Goods and Fitness Equipment,491.175533577873,2.5,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Terra/Health%20and%20Wellness%20Products/low/10684346.png
38,Pet Supplies,179.33891064097776,4.5,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Terra/Apparel%20and%20Fashion%20Accessories/2290437.png
39,Electronics,1343.8612919033105,3.7,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Terra/Home%20and%20Kitchen%20Appliances/high/10726839.png
40,Pet Supplies,132.29742672392229,3.4,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Terra/Consumer%20Electronics%20Accessories/2004535.png
41,Consumer Electronics Accessories,69.7084448876855,2.2,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Terra/Apparel%20and%20Fashion%20Accessories/4533606.png
42,Home and Kitchen Appliances,751.0051082227034,4.2,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Terra/Health%20and%20Wellness%20Products/low/10684472.png
