Customer ID,Page Views,Time Spent (minutes),Avatar
3849396,156,129.0,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Avatar/people-38/2118445-f.png
3110597,133,103.0,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Avatar/people-38/2118553-f.png
931005,140,108.0,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Avatar/people-38/2118445-f.png
507165,87,81.0,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Avatar/people-38/1993266.png
464587,113,93.0,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Avatar/people-38/2118508.png
498259,94,81.0,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Avatar/people-38/2118469-f.png
400440,149,120.0,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Avatar/people-38/2118440-f.png
952764,72,63.0,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Avatar/people-38/2118455.png
2979646,92,78.0,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Avatar/people-38/2118445-f.png
4433975,144,111.0,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Avatar/people-38/2118578-f.png
2662095,125,101.0,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Avatar/people-38/2118440-f.png
3267872,178,137.0,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Avatar/people-38/2118516.png
2465912,136,100.0,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Avatar/people-38/1993035-f.png
1086532,98,73.0,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Avatar/people-38/1993266-f.png
3551574,82,64.0,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Avatar/people-38/2118545-f.png
4693387,136,117.0,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Avatar/people-38/1993255-f.png
460865,86,72.0,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Avatar/people-38/1993273.png
4051480,171,137.0,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Avatar/people-38/1993283.png
361244,122,94.0,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Avatar/people-38/2118545.png
1674133,157,120.0,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Avatar/people-38/2118561.png
2454272,126,96.0,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Avatar/people-38/1993035-f.png
1514820,83,64.0,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Avatar/people-38/2118542.png
3705066,85,80.0,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Avatar/people-38/2118516-f.png
132914,122,98.0,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Avatar/people-38/2118469.png
3384694,94,81.0,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Avatar/people-38/2118489-f.png
1174529,105,79.0,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Avatar/people-38/1993289.png
3559781,173,139.0,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Avatar/people-38/2118545-f.png
1636584,100,78.0,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Avatar/people-38/1993035.png
2802867,100,77.0,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Avatar/people-38/1993112-f.png
2847254,97,75.0,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Avatar/people-38/2118545.png
4546762,143,117.0,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Avatar/people-38/2118474.png
566007,95,71.0,https://raw.githubusercontent.com/reckn/super-disco/main/assets/Avatar/people-38/2118516-f.png
